,File Header,t1,t2,hash,hashed_filepath,og_filepath,intent,topic,speaker,form,intent2,overall_change,f0_slope
20,20. Sound -427154102296335092,0.7888,1.4426,-427154102296335092,data/raw/scaled_stimuli_hashed/-427154102296335092.wav,data/raw/scaled_stimuli_hashed/18_request_Spanish.wav,request,Spanish,18,conventional,request,33.58181586345533,-0.0029205332611125325
21,21. Sound -1023246631388946313,0.8308,1.4396,-1023246631388946313,data/raw/scaled_stimuli_hashed/-1023246631388946313.wav,data/raw/scaled_stimuli_hashed/24_request_phone.wav,request,phone,24,non-conventional,request,-16.460085426806828,-0.26961915050235197
22,22. Sound -467303575228957364,1.1196,2.0227,-467303575228957364,data/raw/scaled_stimuli_hashed/-467303575228957364.wav,data/raw/scaled_stimuli_hashed/25_question_window.wav,question,window,25,conventional,non-request,34.65184742539664,0.27725357253253596
23,24. Sound -597542324372822361,0.7581,1.575,-597542324372822361,data/raw/scaled_stimuli_hashed/-597542324372822361.wav,data/raw/scaled_stimuli_hashed/1_question_piano.wav,question,piano,1,conventional,non-request,32.64595082103675,-0.018405158288977118
24,25. Sound -617854226656135133,0.7829,1.5228,-617854226656135133,data/raw/scaled_stimuli_hashed/-617854226656135133.wav,data/raw/scaled_stimuli_hashed/3_question_window.wav,question,window,3,conventional,non-request,-15.389209816755056,0.16708703314258747
25,26. Sound -632401208996665243,0.8508,1.6024,-632401208996665243,data/raw/scaled_stimuli_hashed/-632401208996665243.wav,data/raw/scaled_stimuli_hashed/20_question_window.wav,question,window,20,conventional,non-request,-7.554390048027898,0.016018151068692893
26,27. Sound -647101440520179951,1.5242,2.4183,-647101440520179951,data/raw/scaled_stimuli_hashed/-647101440520179951.wav,data/raw/scaled_stimuli_hashed/3_question_Spanish.wav,question,Spanish,3,conventional,non-request,100.278665711224,0.5568364332175345
28,29. Sound -760270243028560990,1.0616,1.3632,-760270243028560990,data/raw/scaled_stimuli_hashed/-760270243028560990.wav,data/raw/scaled_stimuli_hashed/19_request_office.wav,request,office,19,non-conventional,request,15.987964280031733,0.15639178788701882
30,31. Sound -825693035223223114,0.792,1.3482,-825693035223223114,data/raw/scaled_stimuli_hashed/-825693035223223114.wav,data/raw/scaled_stimuli_hashed/18_statement_laptop.wav,statement,laptop,18,non-conventional,non-request,-13.53540189679741,-0.4938491762646855
31,32. Sound -860747365782818080,1.136,1.8802,-860747365782818080,data/raw/scaled_stimuli_hashed/-860747365782818080.wav,data/raw/scaled_stimuli_hashed/1_request_laptop.wav,request,laptop,1,non-conventional,request,20.763237518676675,-0.12256613009894919
33,34. Sound -979071711655601098,0.7877,1.3472,-979071711655601098,data/raw/scaled_stimuli_hashed/-979071711655601098.wav,data/raw/scaled_stimuli_hashed/8_statement_phone.wav,statement,phone,8,non-conventional,non-request,-2.70405020654772,-0.0766675600963798
34,1. Sound -1027144097616494831,1.2905,2.0175,-1027144097616494831,data/raw/scaled_stimuli_hashed/-1027144097616494831.wav,data/raw/scaled_stimuli_hashed/11_request_soup.wav,request,soup,11,non-conventional,request,-23.488834158647336,-0.6451490509003834
35,2. Sound -1040297013749224622,1.0143,1.7536,-1040297013749224622,data/raw/scaled_stimuli_hashed/-1040297013749224622.wav,data/raw/scaled_stimuli_hashed/11_request_window.wav,request,window,11,conventional,request,53.65462791051351,1.036004613425769
36,3. Sound -1100059246465019635,1.1733,1.733,-1100059246465019635,data/raw/scaled_stimuli_hashed/-1100059246465019635.wav,data/raw/scaled_stimuli_hashed/17_statement_back.wav,statement,back,17,non-conventional,non-request,-63.44087428423825,-1.2271607681563819
38,5. Sound -1178978307710895946,0.6317,1.1753,-1178978307710895946,data/raw/scaled_stimuli_hashed/-1178978307710895946.wav,data/raw/scaled_stimuli_hashed/7_question_window.wav,question,window,7,conventional,non-request,7.4128325010998,0.15892764673169932
