,duration_f0,form,intent,label,mean_f0,mean_intensity,ppt_id,range_f0,sd_f0,sd_intensity,slope_f0,speaker,stimNum,topic
0,95,conventional,question,question,246.82492331370787,55.12033900578108,17,137.36761677275254,37.53710381343514,9.665211633670664,0.5675177520735196,17,8,piano
1,85,conventional,question,question,152.72219828128362,56.3274677756785,4,113.38990403129017,22.90897037669988,10.025252789663117,0.17603596043300584,4,8,piano
2,44,conventional,question,question,224.18064414576773,46.95624959996058,17,188.714565944169,50.900825213179644,9.683905888477627,-2.606030708993032,17,3,box
3,83,non-conventional,statement,statement,104.42875726185002,45.407365493330076,9,53.785523049228075,15.1340817941099,9.827504226400404,0.047953985997647774,9,9,soup
4,141,non-conventional,statement,statement,134.28102818565816,42.02012771778143,22,164.73965127173045,40.946825750260416,6.263828113980594,-0.28858984164747054,22,6,office
5,139,conventional,question,question,196.7881032268271,57.65771968601597,2,150.43203465398932,27.914856137347247,9.584567588734481,0.17400805824788082,2,10,spanish
6,88,conventional,request,request,252.94147046288163,55.32594086244998,3,138.5863909492572,42.46521212092036,10.548938509009476,1.4164262614809382,3,4,door
7,59,non-conventional,statement,statement,238.36211326472738,49.753553908359414,17,499.154772167061,87.09809412677949,8.292856355187505,-2.1317753480297283,17,9,soup
8,76,conventional,question,question,105.07540422013135,52.451654210007945,9,516.2158427270084,58.017321994201836,10.296079612556188,0.004415251263743304,9,8,piano
9,57,non-conventional,statement,statement,145.6222670983909,53.46747659509292,4,69.74709453259992,17.036561639787006,11.207626408115875,-0.27182171388543996,4,9,soup
10,90,conventional,question,question,181.01179320657639,50.69596562018519,1,83.60510589412809,21.52968723450464,12.730892346144884,-0.5129927667336943,1,4,door
11,99,conventional,question,question,228.72954809121137,49.43041931062586,3,217.03680203187866,62.5949303436138,11.009493305349785,-0.008775389302038071,3,3,box
12,82,non-conventional,statement,statement,102.23368439142794,42.94332233036973,24,35.56923458336588,7.886307461094516,7.761030391936826,-0.08289013867211821,24,7,phone
13,76,conventional,request,request,123.79550669328673,58.39109186852065,21,58.34510585130502,13.763897064467248,13.4497851362762,0.184678056700342,21,3,box
14,80,non-conventional,statement,statement,204.65948143305295,51.586744090087905,17,202.01827977961736,53.55372632291599,9.123343063853127,-1.81802842036221,17,1,car
15,125,conventional,question,question,103.01110870470353,43.735173602145025,24,45.038773775518806,12.491111918746828,7.414191218367005,-0.12151877215563428,24,11,window
16,83,conventional,request,request,251.6464471151787,53.438090836789016,17,345.04005282358224,56.07661735631664,9.53629310924766,-0.6591332222955757,17,4,door
17,62,conventional,question,question,102.35521090985672,55.527189865942965,18,50.70566767604342,15.730748420597187,10.421737053128508,-0.18722686220244517,18,4,door
18,139,non-conventional,request,request,174.63225159310653,60.7888180655583,2,75.30846627082263,19.379728224778265,7.521292286338586,-0.35622254623931693,2,2,back
19,131,conventional,question,question,114.35665131769457,45.456861982407396,7,66.68447576816452,11.6140398698726,7.074342958264541,0.0009581822688645415,7,10,spanish
20,103,conventional,question,question,201.38475321779234,54.02672624790405,2,66.95273816177865,16.40413009839557,8.998153573454504,0.4588606003310147,2,12,temperature
21,103,conventional,request,request,256.93130062159213,64.39528181204976,13,168.71770910383106,43.28661488521697,12.423469982270257,-0.9912497821861749,13,11,window
22,61,non-conventional,request,request,102.24257143427651,49.629339630309005,10,39.875395199308855,8.554976558419096,10.039600902077805,-0.21741168036339067,10,5,laptop
23,76,conventional,request,request,149.74191821085893,47.75435426873144,19,98.54834079105228,19.5072135429327,10.837371875940065,0.11258049930623937,19,12,temperature
