,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,form_assignment,url,stimulus,button_pressed,type,condition,topic,speaker,form,responses,question_order,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
0,"[{""page_index"":0,""viewing_time"":70377.45500000892}]",70382.59500000278,instructions,0,70431,0.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,,,,,,,,,,No,Prefer not to say,No,7,123213,No
1,,16085.369999986142,external-html,1,86993,0.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,consent.html,,,,,,,,,,,No,Prefer not to say,No,7,123213,No
2,"[{""page_index"":0,""viewing_time"":1723.0400000116788}]",1723.3549999946265,instructions,2,88973,0.0-2.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,,,,,,,,,,No,Prefer not to say,No,7,123213,No
3,,3562.8800000122283,audio-button-response,3,92800,0.0-3.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,calibration/ears_audio_check.wav,2.0,test,,,,,,,,No,Prefer not to say,No,7,123213,No
4,"[{""page_index"":0,""viewing_time"":2613.225000008242},{""page_index"":1,""viewing_time"":22927.024999982677},{""page_index"":2,""viewing_time"":3179.564999998547}]",28720.05999999237,instructions,4,121775,0.0-4.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,,,,,,,,,,No,Prefer not to say,No,7,123213,No
5,,,audio-button-response,5,123351,0.0-5.0-0.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_request_window.wav,,,request,window,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
6,,6749.650000012479,html-button-response,6,130363,0.0-5.0-0.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,0.0,,request,window,4.0,conventional,,,Request,No,Prefer not to say,No,7,123213,No
7,,,audio-button-response,7,132256,0.0-5.0-1.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_request_box.wav,,,request,box,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
8,,712.7500000060536,html-button-response,8,133225,0.0-5.0-1.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,request,box,4.0,conventional,,,Non-Request,No,Prefer not to say,No,7,123213,No
9,,,audio-button-response,9,134770,0.0-5.0-2.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_question_door.wav,,,question,door,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
10,,1744.685000012396,html-button-response,10,136770,0.0-5.0-2.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,0.0,,question,door,4.0,conventional,,,Request,No,Prefer not to say,No,7,123213,No
11,,,audio-button-response,11,138462,0.0-5.0-3.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_question_box.wav,,,question,box,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
12,,885.5749999929684,html-button-response,12,139603,0.0-5.0-3.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,question,box,4.0,conventional,,,Non-Request,Yes,Prefer not to say,No,7,123213,No
13,,,audio-button-response,13,141080,0.0-5.0-4.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_request_door.wav,,,request,door,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
14,,347.49000001465896,html-button-response,14,141683,0.0-5.0-4.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,request,door,4.0,conventional,,,Non-Request,Yes,Prefer not to say,No,7,123213,No
15,,,audio-button-response,15,143518,0.0-5.0-5.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_question_window.wav,,,question,window,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
16,,586.8349999946076,html-button-response,16,144357,0.0-5.0-5.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,0.0,,question,window,4.0,conventional,,,Request,Yes,Prefer not to say,No,7,123213,No
17,,,audio-button-response,17,146130,0.0-5.0-6.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_question_temp.wav,,,question,temp,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
18,,600.9599999815691,html-button-response,18,146983,0.0-5.0-6.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,question,temp,4.0,conventional,,,Non-Request,No,Prefer not to say,No,7,123213,No
19,,,audio-button-response,19,148563,0.0-5.0-7.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_request_temp.wav,,,request,temp,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
20,,383.52500001201406,html-button-response,20,149202,0.0-5.0-7.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,request,temp,4.0,conventional,,,Non-Request,Yes,Prefer not to say,No,7,123213,No
21,,,audio-button-response,21,150641,0.0-5.0-8.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_question_piano.wav,,,question,piano,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
22,,504.304999980377,html-button-response,22,151401,0.0-5.0-8.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,question,piano,4.0,conventional,,,Non-Request,No,Prefer not to say,No,7,123213,No
23,,,audio-button-response,23,152731,0.0-5.0-9.0-0.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,../data/raw/scaled_stimuli/4_request_piano.wav,,,request,piano,4.0,conventional,,,,No,Prefer not to say,No,7,123213,No
24,,448.17499999771826,html-button-response,24,153436,0.0-5.0-9.0-1.0,u9v7sk4hb1,u9v7sk4hb1,conventional,,,1.0,,request,piano,4.0,conventional,,,Non-Request,Yes,Prefer not to say,No,7,123213,No
