"","form","topic","mean_request","sd_request"
"1","conventional","box",0.923076923076923,0.268194093760605
"2","conventional","door",0.987179487179487,0.11322770341446
"3","conventional","piano",0.67948717948718,0.469694284202736
"4","conventional","spanish",0.91025641025641,0.287664010176078
"5","conventional","temperature",0.974358974358974,0.159084962545255
"6","conventional","window",1,0
"7","direct","clean",0.948717948717949,0.222000111000083
"8","direct","faucet",0.987179487179487,0.11322770341446
"9","direct","laundry",0.987179487179487,0.11322770341446
"10","direct","salt",0.987179487179487,0.11322770341446
"11","direct","television",0.974358974358974,0.159084962545255
"12","direct","tomatoes",0.961538461538462,0.193552415284691
"13","nonconventional","back",0.128205128205128,0.336481965668464
"14","nonconventional","car",0.128205128205128,0.336481965668464
"15","nonconventional","laptop",0.115384615384615,0.321553422305849
"16","nonconventional","office",0.205128205128205,0.406408864529509
"17","nonconventional","phone",0.166666666666667,0.375090176747726
"18","nonconventional","soup",0.192307692307692,0.396664414010959
"19","proposition","cats",0.0128205128205128,0.11322770341446
"20","proposition","dog",0.0128205128205128,0.11322770341446
"21","proposition","hat",0.0128205128205128,0.11322770341446
"22","proposition","Paris",0.0128205128205128,0.11322770341446
"23","proposition","tall",0.0128205128205128,0.11322770341446
"24","proposition","usa",0.0384615384615385,0.193552415284691
