rt,trial_index,subject,form_assignment,button_pressed,condition,topic,speaker,form,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
,55,yas2e2mcsw,non_conventional,,request,car,20,nonconventional,,No,Male,Yes,4,19,No
398.185,56,yas2e2mcsw,non_conventional,0,request,car,20,nonconventional,Request,No,Male,Yes,4,19,No
,57,yas2e2mcsw,non_conventional,,request,office,20,nonconventional,,No,Male,Yes,4,19,No
246.985,58,yas2e2mcsw,non_conventional,0,request,office,20,nonconventional,Request,No,Male,Yes,4,19,No
,59,yas2e2mcsw,non_conventional,,request,soup,20,nonconventional,,No,Male,Yes,4,19,No
994.1,60,yas2e2mcsw,non_conventional,0,request,soup,20,nonconventional,Request,No,Male,Yes,4,19,No
,61,yas2e2mcsw,non_conventional,,statement,car,20,nonconventional,,No,Male,Yes,4,19,No
325.775,62,yas2e2mcsw,non_conventional,1,statement,car,20,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,63,yas2e2mcsw,non_conventional,,statement,phone,20,nonconventional,,No,Male,Yes,4,19,No
321.62,64,yas2e2mcsw,non_conventional,0,statement,phone,20,nonconventional,Request,No,Male,Yes,4,19,No
,65,yas2e2mcsw,non_conventional,,statement,back,20,nonconventional,,No,Male,Yes,4,19,No
519.965,66,yas2e2mcsw,non_conventional,1,statement,back,20,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,67,yas2e2mcsw,non_conventional,,statement,office,20,nonconventional,,No,Male,Yes,4,19,No
272.095,68,yas2e2mcsw,non_conventional,1,statement,office,20,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,69,yas2e2mcsw,non_conventional,,statement,soup,20,nonconventional,,No,Male,Yes,4,19,No
1017.82,70,yas2e2mcsw,non_conventional,0,statement,soup,20,nonconventional,Request,Yes,Male,Yes,4,19,No
,71,yas2e2mcsw,non_conventional,,statement,laptop,20,nonconventional,,No,Male,Yes,4,19,No
570.575,72,yas2e2mcsw,non_conventional,1,statement,laptop,20,nonconventional,Non-Request,No,Male,Yes,4,19,No
,73,yas2e2mcsw,non_conventional,,request,phone,20,nonconventional,,No,Male,Yes,4,19,No
280.16,74,yas2e2mcsw,non_conventional,1,request,phone,20,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,75,yas2e2mcsw,non_conventional,,request,laptop,20,nonconventional,,No,Male,Yes,4,19,No
225.805,76,yas2e2mcsw,non_conventional,1,request,laptop,20,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,77,yas2e2mcsw,non_conventional,,request,soup,11,nonconventional,,No,Male,Yes,4,19,No
342.81,78,yas2e2mcsw,non_conventional,0,request,soup,11,nonconventional,Request,No,Male,Yes,4,19,No
,79,yas2e2mcsw,non_conventional,,statement,soup,11,nonconventional,,No,Male,Yes,4,19,No
228.32,80,yas2e2mcsw,non_conventional,0,statement,soup,11,nonconventional,Request,Yes,Male,Yes,4,19,No
,81,yas2e2mcsw,non_conventional,,statement,laptop,11,nonconventional,,No,Male,Yes,4,19,No
486.515,82,yas2e2mcsw,non_conventional,1,statement,laptop,11,nonconventional,Non-Request,No,Male,Yes,4,19,No
,83,yas2e2mcsw,non_conventional,,statement,car,11,nonconventional,,No,Male,Yes,4,19,No
252.265,84,yas2e2mcsw,non_conventional,1,statement,car,11,nonconventional,Non-Request,No,Male,Yes,4,19,No
,85,yas2e2mcsw,non_conventional,,request,car,11,nonconventional,,No,Male,Yes,4,19,No
581.1,86,yas2e2mcsw,non_conventional,0,request,car,11,nonconventional,Request,Yes,Male,Yes,4,19,No
,87,yas2e2mcsw,non_conventional,,request,phone,11,nonconventional,,No,Male,Yes,4,19,No
299.71,88,yas2e2mcsw,non_conventional,0,request,phone,11,nonconventional,Request,No,Male,Yes,4,19,No
,89,yas2e2mcsw,non_conventional,,statement,back,11,nonconventional,,No,Male,Yes,4,19,No
381.33,90,yas2e2mcsw,non_conventional,1,statement,back,11,nonconventional,Non-Request,No,Male,Yes,4,19,No
,91,yas2e2mcsw,non_conventional,,request,laptop,11,nonconventional,,No,Male,Yes,4,19,No
380.11,92,yas2e2mcsw,non_conventional,0,request,laptop,11,nonconventional,Request,Yes,Male,Yes,4,19,No
,93,yas2e2mcsw,non_conventional,,request,office,11,nonconventional,,No,Male,Yes,4,19,No
